iter	Passed	Remaining
486	575	606
487	576	604
488	576	602
489	577	600
490	577	599
491	578	597
492	579	595
493	579	593
494	580	592
495	580	590
496	581	588
497	582	586
498	583	585
499	584	584
500	585	582
501	586	581
502	587	580
503	588	578
504	588	577
505	589	575
506	590	574
507	591	572
508	591	570
509	592	569
510	593	567
511	594	566
512	595	565
513	596	563
514	598	563
515	599	562
516	600	560
517	601	559
518	602	558
519	603	556
520	603	555
521	604	553
522	605	552
523	606	550
524	606	549
525	607	547
526	608	546
527	609	544
528	610	543
529	611	541
530	614	542
531	615	541
532	616	540
533	617	539
534	618	537
535	619	536
536	620	534
537	621	533
538	622	532
539	622	530
540	623	528
541	624	527
542	624	525
543	625	524
544	626	523
545	627	521
546	629	521
547	631	520
548	632	519
549	633	518
550	634	516
551	634	515
552	635	513
553	636	512
554	636	510
555	637	509
556	638	507
557	639	506
558	640	504
559	640	503
560	641	502
561	643	501
562	644	500
563	645	498
564	646	497
565	647	496
566	648	495
567	649	493
568	650	492
569	651	491
570	651	489
571	652	488
572	653	487
573	654	485
574	656	485
575	658	485
576	660	484
577	661	483
578	662	482
579	664	481
580	666	480
581	667	479
582	669	478
583	670	477
584	671	476
585	671	474
586	673	474
587	675	473
588	676	471
589	677	470
590	678	469
591	679	468
592	680	466
593	680	465
594	681	464
595	682	462
596	683	461
597	684	460
598	685	458
599	686	457
600	687	456
601	689	456
602	690	454
603	692	453
604	693	452
605	694	451
606	695	450
607	696	448
608	697	447
609	698	446
610	699	445
611	700	444
612	702	443
613	703	442
614	704	441
615	705	439
616	706	438
617	707	437
618	708	436
619	709	434
620	710	433
621	712	432
622	713	431
623	714	430
624	715	429
625	716	427
626	717	426
627	718	425
628	719	424
629	720	423
630	721	422
631	722	420
632	723	419
633	725	418
634	726	417
635	727	416
636	728	415
637	729	414
638	731	413
639	732	411
640	733	410
641	734	409
642	735	408
643	737	407
644	738	406
645	739	405
646	741	404
647	742	403
648	743	402
649	744	400
650	745	399
651	747	398
652	750	398
653	751	397
654	752	396
655	754	395
656	755	394
657	756	393
658	757	392
659	758	390
660	760	389
661	761	388
662	762	387
663	764	386
664	765	385
665	767	384
666	768	383
667	769	382
668	771	381
669	772	380
670	774	379
671	775	378
672	776	377
673	778	376
674	780	375
675	781	374
676	782	373
677	784	372
678	785	371
679	786	370
680	787	368
681	788	367
682	789	366
683	790	365
684	791	364
685	796	364
686	797	363
687	798	362
688	799	360
689	800	359
690	801	358
691	802	357
692	804	356
693	805	355
694	806	353
695	807	352
696	810	352
697	811	351
698	812	349
699	813	348
700	814	347
701	815	346
702	817	345
703	818	343
704	819	342
705	820	341
706	821	340
707	822	339
708	826	339
709	827	338
710	828	336
711	830	336
712	831	334
713	832	333
714	834	332
715	835	331
716	836	330
717	838	329
718	840	328
719	841	327
720	843	326
721	844	325
722	845	324
723	847	322
724	848	321
725	849	320
726	851	319
727	852	318
728	857	318
729	858	317
730	860	316
731	861	315
732	862	314
733	863	313
734	865	312
735	867	311
736	868	309
737	871	309
738	872	308
739	874	307
740	875	306
741	877	304
742	878	303
743	879	302
744	880	301
745	881	300
746	883	299
747	887	298
748	889	298
749	890	296
750	892	295
751	894	295
752	896	293
753	897	292
754	899	291
755	901	290
756	903	289
757	904	288
758	906	287
759	907	286
760	909	285
761	911	284
762	912	283
763	914	282
764	916	281
765	918	280
766	920	279
767	921	278
768	925	277
769	926	276
770	934	277
771	935	276
772	939	275
773	941	275
774	943	274
775	947	273
776	949	272
777	950	271
778	953	270
779	955	269
780	957	268
781	959	267
782	963	267
783	966	266
784	986	270
785	989	269
786	993	268
787	995	267
788	999	267
789	1000	266
790	1003	265
791	1005	264
792	1007	263
793	1009	261
794	1011	260
795	1013	259
796	1015	258
797	1027	260
798	1029	258
799	1032	258
800	1034	257
801	1036	256
802	1041	255
803	1043	254
804	1045	253
805	1047	252
806	1049	250
807	1050	249
808	1052	248
809	1055	247
810	1057	246
811	1059	245
812	1064	244
813	1066	243
814	1068	242
815	1071	241
816	1073	240
817	1075	239
818	1077	238
819	1079	236
820	1081	235
821	1085	234
822	1087	233
823	1089	232
824	1091	231
825	1093	230
826	1099	230
827	1101	228
828	1103	227
829	1105	226
830	1107	225
831	1109	223
832	1111	222
833	1113	221
834	1115	220
835	1116	219
836	1118	217
837	1119	216
838	1120	215
839	1122	213
840	1123	212
841	1125	211
842	1132	210
843	1135	209
844	1137	208
845	1139	207
846	1142	206
847	1166	209
848	1169	207
849	1171	206
850	1174	205
851	1175	204
852	1178	203
853	1181	201
854	1184	200
855	1185	199
856	1186	198
857	1191	197
858	1194	195
859	1195	194
860	1197	193
861	1199	191
862	1200	190
863	1202	189
864	1204	187
865	1205	186
866	1207	185
867	1209	183
868	1210	182
869	1212	181
870	1214	179
871	1216	178
872	1217	177
873	1219	175
874	1220	174
875	1227	173
876	1229	172
877	1230	171
878	1232	169
879	1233	168
880	1236	167
881	1240	165
882	1244	164
883	1245	163
884	1247	162
885	1249	160
886	1251	159
887	1253	158
888	1256	156
889	1257	155
890	1258	153
891	1260	152
892	1262	151
893	1263	149
894	1265	148
895	1266	147
896	1271	145
897	1272	144
898	1273	143
899	1274	141
900	1276	140
901	1277	138
902	1279	137
903	1281	136
904	1282	134
905	1285	133
906	1287	131
907	1288	130
908	1290	129
909	1291	127
910	1292	126
911	1293	124
912	1295	123
913	1296	121
914	1301	120
915	1302	119
916	1304	118
917	1305	116
918	1307	115
919	1308	113
920	1310	112
921	1311	110
922	1312	109
923	1315	108
924	1317	106
925	1318	105
926	1321	104
927	1322	102
928	1323	101
929	1324	99
930	1328	98
931	1330	97
932	1332	95
933	1334	94
934	1336	92
935	1337	91
936	1338	90
937	1340	88
938	1341	87
939	1343	85
940	1345	84
941	1347	82
942	1348	81
943	1349	80
944	1351	78
945	1352	77
946	1356	75
947	1358	74
948	1359	73
949	1362	71
950	1363	70
951	1364	68
952	1366	67
953	1368	65
954	1369	64
955	1371	63
956	1372	61
957	1376	60
958	1378	58
959	1379	57
960	1381	56
961	1383	54
962	1384	53
963	1385	51
964	1387	50
965	1390	48
966	1392	47
967	1393	46
968	1394	44
969	1395	43
970	1397	41
971	1398	40
972	1400	38
973	1401	37
974	1403	35
975	1405	34
976	1407	33
977	1408	31
978	1409	30
979	1411	28
980	1413	27
981	1414	25
982	1415	24
983	1417	23
984	1420	21
985	1423	20
986	1429	18
987	1431	17
988	1432	15
989	1433	14
990	1435	13
991	1437	11
992	1440	10
993	1441	8
994	1443	7
995	1444	5
996	1445	4
997	1447	2
998	1448	1
999	1449	0
